complexNo,complexName,pyeongNo,supplyArea,supplyPyeong,pyeongName,pyeongName2,exclusiveArea,exclusivePyeong,exclusiveRate,realEstateTypeCode,householdCountByPyeong,dealCount,leaseCount,rentCount,shortTermRentCount,dealPriceMin,dealPriceMax,dealPricePerSpaceMin,dealPricePerSpaceMax,dealPriceString,dealPricePerSpaceString,leasePriceString,leasePricePerSpaceString,leasePriceRateString,rentPriceString,rentDepositPriceMin,rentPriceMin,rentDepositPriceMax,rentPriceMax,roomCnt,bathroomCnt,averageTotalPrice,dealPriceMin2,dealPriceMax2,rentDepositPriceMin2,rentPriceMin2,rentDepositPriceMax2,rentPriceMax2,매매매물출현율,전세매물출현율,월세매물출현율,downloadDate
140889,광교에듀포레,2,100.92,30.52,100B,30B,75.55,22.85,75,A01,18,3,0,1,0,"10억 5,000","12억 2,000","3,439","3,996","10억 5,000~12억 2,000","(3,439~3,996만원/3.3㎡)",,,,1억/230,1억,230,1억,230,3,2,330353,105000,122000,10000,230,10000,230,16.7%,5.6%,0.0%,2025-03-11 22:19:39
140889,광교에듀포레,1,101.18,30.6,101A,30A,75.74,22.91,75,A01,50,4,0,0,0,11억,"12억 5,000","3,594","4,084","11억~12억 5,000","(3,594~4,084만원/3.3㎡)",,,,,,,,,3,2,331184,110000,125000,,,,,8.0%,0.0%,0.0%,2025-03-11 22:19:39
140889,광교에듀포레,3,101.19,30.6,101C,30C,75.75,22.91,75,A01,39,,,,,,,,,,,,,,,,,,,3,2,331228,,,,,,,0.0%,0.0%,0.0%,2025-03-11 22:19:39
140889,광교에듀포레,4,113.4,34.3,113A,34A,84.89,25.67,75,A01,115,9,1,0,0,12억,13억,"3,498","3,790",12억~13억,"(3,498~3,790만원/3.3㎡)","7억 9,000","(2,303만원/3.3㎡)",61~66%,,,,,,3,2,371194,120000,130000,,,,,7.8%,0.0%,0.0%,2025-03-11 22:19:39
136913,광교더리브,1,99.19,30,99A,30A,74.78,22.62,75,A01,97,6,0,0,0,"10억 3,000",12억,"3,433","3,999","10억 3,000~12억","(3,433~3,999만원/3.3㎡)",,,,,,,,,3,2,285127,103000,120000,,,,,6.2%,0.0%,0.0%,2025-03-11 22:19:39
136913,광교더리브,2,99.19,30,99B,30B,74.78,22.62,75,A01,36,6,0,0,0,"10억 5,000",11억,"3,499","3,666","10억 5,000~11억","(3,499~3,666만원/3.3㎡)",,,,,,,,,3,2,285127,105000,110000,,,,,16.7%,0.0%,0.0%,2025-03-11 22:19:39
136913,광교더리브,4,112.5,34.03,112E,34E,84.81,25.65,75,A01,302,29,5,1,0,10억,13억,"2,938","3,820",10억~13억,"(2,938~3,820만원/3.3㎡)","5억 9,000~7억","(1,734~2,057만원/3.3㎡)",45~70%,3억/150,3억,150,3억,150,3,2,323370,100000,130000,30000,150,30000,150,9.6%,0.3%,0.0%,2025-03-11 22:19:39
136913,광교더리브,3,112.64,34.07,112D,34D,84.92,25.68,75,A01,172,17,1,1,0,"10억 3,000",14억,"3,023","4,109","10억 3,000~14억","(3,023~4,109만원/3.3㎡)",6억,"(1,761만원/3.3㎡)",43~58%,"5,000/250","5,000",250,"5,000",250,3,2,323789,103000,140000,5000,250,5000,250,9.9%,0.6%,0.0%,2025-03-11 22:19:39
