articleNo,complexNo,articleName,articleRealEstateTypeName,tradeTypeName,floorInfo,priceChangeState,isPriceModification,dealOrWarrantPrc,rentPrc,areaName,pyeongName,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrMaxPrc,sameAddrMinPrc,cpName,cpPcArticleUrl,latitude,longitude,realtorName,complexName,매물등록경과일,householdCountByPyeong,dealCount,leaseCount,rentCount,shortTermRentCount,roomCnt,bathroomCnt,averageTotalPrice,dealPriceMin2,dealPriceMax2,dealPricePerSpaceMin,dealPricePerSpaceMax,dealPriceString,dealPricePerSpaceString,leasePriceString,leasePricePerSpaceString,leasePriceRateString,rentPriceString,rentDepositPriceMin2,rentPriceMin2,rentDepositPriceMax2,rentPriceMax2,매매매물출현율,전세매물출현율,월세매물출현율,provider,baseYearMonthDay,dealUpperPriceLimit,dealAveragePrice,dealLowPriceLimit,dealAveragePriceChangeAmount,leaseUpperPriceLimit,leaseAveragePrice,leaseLowPriceLimit,leaseAveragePriceChangeAmount,rentLowPrice,deposit,rentUpperPrice,upperPriceLimit,averagePriceLimit,lowPriceLimit,priceChangeAmount,leasePerDealRate,floorType,downloadDate
2511381409,136913,광교더리브,아파트,매매,18/27,SAME,False,12억,,112E,34E,112,84,남서향,2025-03-05,언제든입주가능 선호하는 판상형 해잘들고 깨끗한집 ,['15년이내' '방세개' '화장실두개' '중층'],6208동,2,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2511381409,37.289879,127.063419,광교더리브 공인중개사사무소,광교더리브,6,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2511377705,136913,광교더리브,아파트,매매,5/27,SAME,False,11억 5000,,112E,34E,112,84,남서향,2025-03-05,7층높이 풀인테리어 정문쪽 뻥뷰 선호하는 판상형 해잘들고 깨끗한집 ,['15년이내' '방세개' '화장실두개' '세대당1대'],6207동,3,11억 5000,11억 5000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2511377705,37.289489,127.063659,광교더리브 공인중개사사무소,광교더리브,6,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,저층,2025-03-11 22:19:39
2512839628,136913,광교더리브,아파트,매매,중/26,SAME,False,10억 3000,,99A,30A,99,74,남서향,2025-03-11,실개처뷰가 아주이쁨,['15년이내' '방세개' '화장실두개' '중층'],6201동,4,10억 3000,10억 3000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512839628,37.289709,127.062411,더리브 축복공인중개사사무소,광교더리브,0,97,6,0,0,0,3,2,285127,103000,120000,3433,3999,10억 3000~12억,(3433~3999만원/3.3㎡),,,,,,,,,6.2%,0.0%,0.0%,kbstar,2025-03-07,102000,97500,92000,0,53500,50000,46000,0,0,0,0,53500,50000,46000,0,50~52%,중층,2025-03-11 22:19:39
2512890138,136913,광교더리브,아파트,매매,저/24,SAME,False,11억,,99B,30B,99,74,남서향,2025-03-11,입구동으로 생활편리하며 채광좋고 밝은집 주인거주 완전깨끗,['15년이내' '방세개' '화장실두개' '세대당1대'],6203동,2,11억,11억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512890138,37.288744,127.063521,센트럴뷰행운부동산공인중개사사무소,광교더리브,0,36,6,0,0,0,3,2,285127,105000,110000,3499,3666,10억 5000~11억,(3499~3666만원/3.3㎡),,,,,,,,,16.7%,0.0%,0.0%,kbstar,2025-03-07,102000,97500,92000,0,53500,50000,46000,0,0,0,0,53500,50000,46000,0,50~52%,저층,2025-03-11 22:19:39
2512839331,136913,광교더리브,아파트,매매,고/23,SAME,False,11억 4000,,112E,34E,112,84,남동향,2025-03-11,화이트로 올인태리어했음  하시입주,['15년이내' '방세개' '화장실두개' '고층'],6204동,4,11억 4000,11억 4000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512839331,37.288242,127.06393,더리브 축복공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,고층,2025-03-11 22:19:39
2512893993,136913,광교더리브,아파트,매매,중/27,SAME,False,12억,,112E,34E,112,84,남동향,2025-03-11,추천매물 최근리모델링 공원과 호수뷰 컨디션최상,['15년이내' '방세개' '화장실두개' '중층'],6209동,1,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512893993,37.290319,127.063138,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2512839227,136913,광교더리브,아파트,매매,고/27,SAME,False,11억 5000,,112E,34E,112,84,남동향,2025-03-11,전세끼고갭투  호수공원전망최상,['15년이내' '방세개' '화장실두개' '고층'],6208동,4,11억 5000,11억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512839227,37.289879,127.063419,더리브 축복공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,고층,2025-03-11 22:19:39
2512794813,136913,광교더리브,아파트,매매,중/27,SAME,False,12억 5000,,112E,34E,112,84,남서향,2025-03-11,환상적인 호수뷰 집상태매우깨끗,['15년이내' '방세개' '화장실두개' '중층'],6205동,2,12억 5000,12억 5000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512794813,37.288321,127.064415,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2512749640,136913,광교더리브,아파트,매매,저/27,SAME,False,11억,,112D,34D,112,84,남동향,2025-03-11,아름다운 중앙공원뷰 조용하고 안정적인 아파트 원천호수편의시설짱,['15년이내' '방세개' '화장실두개' '세대당1대'],6208동,1,11억,11억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512749640,37.289879,127.063419,광교 센트럴뷰 단지내공인중개사사무소,광교더리브,0,172,17,1,1,0,3,2,323789,103000,140000,3023,4109,10억 3000~14억,(3023~4109만원/3.3㎡),6억,(1761만원/3.3㎡),43~58%,5000/250,5000,250,5000,250,9.9%,0.6%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,저층,2025-03-11 22:19:39
2512781517,136913,광교더리브,아파트,매매,고/27,SAME,False,12억 7000,,112E,34E,112,84,남서향,2025-03-11,언제든입주가능 선호하는 판상형 해잘들고 깨끗한집 ,['15년이내' '방세개' '화장실두개' '고층'],6207동,1,12억 7000,12억 7000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512781517,37.289489,127.063659,광교더리브 공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,고층,2025-03-11 22:19:39
