complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,roadAddress,latitude,longitude,totalHouseholdCount,totalLeaseHouseholdCount,permanentLeaseHouseholdCount,nationLeaseHouseholdCount,civilLeaseHouseholdCount,publicLeaseHouseholdCount,longTermLeaseHouseholdCount,etcLeaseHouseholdCount,highFloor,lowFloor,useApproveYmd,totalDongCount,maxSupplyArea,minSupplyArea,dealCount,rentCount,leaseCount,shortTermRentCount,isBookmarked,batlRatio,btlRatio,parkingPossibleCount,parkingCountByHousehold,constructionCompanyName,heatMethodTypeCode,heatFuelTypeCode,pyoengNames,address,roadAddressPrefix,roadZipCode,매매매물출현율,전세매물출현율,월세매물출현율,schoolName,walkTime,studentStatisticsBaseYmd,studentCountPerTeacher,studentCountPerClassroom,maleStudentCount,femaleStudentCount,totalStudentCount,averageStudentCountPerClassroomOnCity,averageStudentCountPerTeacherOnCity,averageStudentCountPerClassroomOnDivision,averageStudentCountPerTeacherOnDivision,downloadDate
140889,광교에듀포레,4111710300,APT,아파트,1370,에듀타운로 7,37.283822,127.053048,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,False,177,12,325,1.45,대창기업(주),HT005,HF002,"100B㎡, 101A㎡, 101C㎡, 113A㎡",경기도 수원시 영통구 이의동,경기도 수원시 영통구,16509,7.1%,0.4%,0.4%,신풍초등학교,2,20240531,14.6,24.0,633,593,1226,18.7,11.9,22.2,14.7,2025-03-11 22:19:39
136913,광교더리브,4111710400,APT,아파트,1013,센트럴파크로 34,37.289152,127.06358,637,30,0,0,0,30,0,0,27,19,2013-11-04,9,112.64,99.19,58,2,6,0,False,182,11,927,1.45,"(주)대우건설,(주)이테크건설",HT005,HF002,"99A㎡, 99B㎡, 112E㎡, 112D㎡",경기도 수원시 영통구 하동,경기도 수원시 영통구,16514,9.1%,0.3%,0.9%,산의초등학교,9,20240531,15.9,24.8,762,627,1389,18.7,11.9,22.2,14.7,2025-03-11 22:19:39
